elapsed_ms,ax,ay,az
96835,328,31,1683
96875,241,238,1921
96915,280,551,1982
96955,490,-106,1779
96995,418,-583,1915
97035,366,142,1864
97101,16,1839,1925
97115,173,439,2133
97155,590,86,1586
97195,429,239,1845
97236,597,-327,2003
97276,575,-129,1596
97351,325,-191,1889
97356,337,-224,1893
97408,246,181,1925
97466,189,261,1709
97506,131,70,1776
97517,-339,-281,2246
97556,290,444,1715
97596,290,-250,1847
97636,614,467,1626
97676,292,-418,2330
97716,132,109,1586
97756,301,509,1381
97796,525,41,1773
97836,402,319,1890
97907,420,13,1804
97916,575,-340,1767
97956,301,-213,1388
97995,279,589,1639
98057,769,94,1839
98075,729,189,1702
98116,627,697,1960
98157,-531,-752,2763
98208,820,833,1618
98277,478,353,1670
98330,455,503,1783
98377,439,151,1734
98385,440,102,1731
98396,432,50,1736
98471,205,223,1885
98475,213,185,1905
98515,242,137,1870
98555,296,91,1848
98595,353,155,1814
98635,385,228,1814
98675,299,108,1858
98727,381,141,1778
98755,315,134,1913
98795,231,205,1807
98835,270,349,1795
98875,133,267,1866
98915,408,6,1962
98955,649,284,1817
99029,300,110,2114
